"Url do google maps","NomeÂ ","AvaliaÃ§Ã£o","Quantidade de AvaliaÃ§Ãµes","Segmento da empresa","Horarios de FechamentoÂ ","EndereÃ§o da empresa","Telefone","Site da empresa","e4rVHe"
"https://www.google.com/maps/place/Home+Construtora+e+Incorporadora/data=!4m7!3m6!1s0x4bbc518689913de7:0x34321e46d7b0969e!8m2!3d-18.8965337!4d-48.2604418!16s%2Fg%2F11xsbhf1hw!19sChIJ5z2RiYZRvEsRnpaw10YeMjQ?authuser=0&hl=pt-BR&rclk=1","Home Construtora e Incorporadora","5,0","(9)","Construtora de casas personalizadas","Â· Fecha 17:00","Â·","(34) 99190-9854","https://instagram.com/homeconstrutoraudi",""
"https://www.google.com/maps/place/Cury+Construtora+-+%28RJ%29/data=!4m7!3m6!1s0x997fe38338a6ef:0xdb7b47199155e25!8m2!3d-22.902632!4d-43.17716!16s%2Fg%2F11l_h130yw!19sChIJ76Y4g-N_mQARJV4VmXG0tw0?authuser=0&hl=pt-BR&rclk=1","Cury Construtora - (RJ)","2,4","(99)","Construtora","Â· Fecha 19:00","Â·","(21) 3543-6888","https://cury.net/",""
"https://www.google.com/maps/place/Construtora+Torre+%7C+Engenharia/data=!4m7!3m6!1s0x997b2117447ec3:0xa5b731f4dca5fa36!8m2!3d-22.8187018!4d-43.3046452!16s%2Fg%2F11xf8hd5z1!19sChIJw35EFyF7mQARNvql3PQxt6U?authuser=0&hl=pt-BR&rclk=1","Construtora Torre | Engenharia","5,0","(94)","Construtora","Â· Fecha 18:00","R. Cordovil, 520","(21) 99934-9322","https://www.construtoratorre.com.br/",""
"https://www.google.com/maps/place/Teckla+construtora+e+incorporadora/data=!4m7!3m6!1s0x9be80573ae03d9:0x3d2555d27ed1e336!8m2!3d-22.9993817!4d-43.3534347!16s%2Fg%2F11hb6f7lpp!19sChIJ2QOucwXomwARNuPRftJVJT0?authuser=0&hl=pt-BR&rclk=1","Teckla construtora e incorporadora","4,9","(31)","Construtora","Â· Fecha 17:00","Centro Empresarial BarraShopping - Av. das AmÃ©ricas, 4200 - Bl 01, Sala 305","(21) 98021-1000","https://www.teckla.com.br/obras-em-andamento",""
"https://www.google.com/maps/place/Construtora+Zadar/data=!4m7!3m6!1s0x9983c2473b7cb3:0x47a028987f1e2274!8m2!3d-22.910107!4d-43.177968!16s%2Fg%2F1tsyq_pw!19sChIJs3w7R8KDmQARdCIef5gooEc?authuser=0&hl=pt-BR&rclk=1","Construtora Zadar","4,9","(14)","Construtora","Â· Fecha 18:00","R. Sen. Dantas, 75 - sala 2212","(21) 2112-1657","http://riwasa.com.br/",""
"https://www.google.com/maps/place/R.Freitas+Construtora/data=!4m7!3m6!1s0x94a4450121076f3b:0x68dc3697e55f5eba!8m2!3d-18.9222!4d-48.2752569!16s%2Fg%2F1ptytklg6!19sChIJO28HIQFFpJQRul5f5Zc23Gg?authuser=0&hl=pt-BR&rclk=1","R.Freitas Construtora","4,7","(45)","Construtora","Â· Fecha 17:30","Av. Rio Branco, 86","(34) 3236-5566","https://www.rfreitas.com.br/",""
"https://www.google.com/maps/place/Dimensional+Engenharia+Ltda/data=!4m7!3m6!1s0x997f5e3d93c1d5:0x173509c365c52626!8m2!3d-22.905346!4d-43.17853!16s%2Fg%2F1v1tp9hg!19sChIJ1cGTPV5_mQARJibFZcMJNRc?authuser=0&hl=pt-BR&rclk=1","Dimensional Engenharia Ltda","4,3","(35)","Construtora","Â· Fecha 18:00","Â·","(21) 2220-0368","http://dimensionalengenharia.com/",""
"https://www.google.com/maps/place/%F0%9F%9F%A1+Augusto+Lima+Construtora+%7C+Rio+de+Janeiro+%7C+Constru%C3%A7%C3%A3o+%26+Reforma+de+Casa,+Apartamento,+Galp%C3%A3o+e+Fachada+Predial+%7C+RJ/data=!4m7!3m6!1s0x9973cf4257d2e1:0xc0fdfdce79d5a5b3!8m2!3d-22.9032944!4d-43.1780878!16s%2Fg%2F11c30rpq4p!19sChIJ4dJXQs9zmQARs6XVec79_cA?authuser=0&hl=pt-BR&rclk=1","ð¡ Augusto Lima Construtora | Rio de Janeiro | ConstruÃ§Ã£o & Reforma de Casa, Apartamento, GalpÃ£o e Fachada Predial | RJ","5,0","(10)","Construtora","Â· Fecha 18:00","Â·","(21) 96450-9028","https://construtoraugustolima.com.br/reforma-de-casa-apartamento-fachada-rio-de-janeiro-rj/",""
"https://www.google.com/maps/place/Construtora+Vitale/data=!4m7!3m6!1s0x9bd9801b83d92d:0xe484791226501918!8m2!3d-22.9718913!4d-43.3696548!16s%2Fg%2F11bwn4n0jy!19sChIJLdmDG4DZmwARGBlQJhJ5hOQ?authuser=0&hl=pt-BR&rclk=1","Construtora Vitale","3,1","(36)","Construtora","Â· Fecha 18:00","Av. Alm. JÃºlio de SÃ¡ Bierrenbach, 65 - Bloco 2 Salas 415 a 418","(21) 3535-9551","https://construtoravitale.com.br/",""
"https://www.google.com/maps/place/SB+CONSTRUTORA+E+ENGENHARIA+LTDA/data=!4m7!3m6!1s0x94a44567bcb95e79:0xce4c60f85a3ba8a6!8m2!3d-18.8966521!4d-48.2603735!16s%2Fg%2F11l2lpx5lx!19sChIJeV65vGdFpJQRpqg7WvhgTM4?authuser=0&hl=pt-BR&rclk=1","SB CONSTRUTORA E ENGENHARIA LTDA","","","Construtora","Â· Fecha 17:00","R. Rio de Janeiro, 353 - SALA 1202","(34) 99100-6306","https://www.sbconstrutoraengenharia.com/","Nenhuma avaliaÃ§Ã£o"
"https://www.google.com/maps/place/Andrade+Gutierrez+S.A./data=!4m7!3m6!1s0x997ff245820fc1:0x1d634db525f32295!8m2!3d-22.9117147!4d-43.1758707!16s%2Fg%2F1tl1pnys!19sChIJwQ-CRfJ_mQARlSLzJbVNYx0?authuser=0&hl=pt-BR&rclk=1","Andrade Gutierrez S.A.","4,7","(27)","Construtora","Â· Fecha 19:00","Rua do Passeio, bl 2, 38","(21) 2211-8000","http://www.agsa.com.br/",""
"https://www.google.com/maps/place/Construtora+Montserrat/data=!4m7!3m6!1s0x9bda2c5137db07:0x3250a1fcb3ec081e!8m2!3d-22.9837247!4d-43.3614348!16s%2Fg%2F1wnf287l!19sChIJB9s3USzamwARHgjss_yhUDI?authuser=0&hl=pt-BR&rclk=1","Construtora Montserrat","4,5","(11)","Construtora","Â· Fecha 17:30","Shopping Via Parque, Av. Ayrton Senna, 3000 - Sala 404 Bloco 1","(21) 3416-9001","http://montserrat.com.br/",""
"https://www.google.com/maps/place/Lopez+Marinho+Engenharia+e+Constru%C3%A7%C3%A3o+Civil/data=!4m7!3m6!1s0x997f5e594a6763:0x9a0a9540ca4ba85a!8m2!3d-22.9040457!4d-43.1777582!16s%2Fg%2F1tl_0dhq!19sChIJY2dKWV5_mQARWqhLykCVCpo?authuser=0&hl=pt-BR&rclk=1","Lopez Marinho Engenharia e ConstruÃ§Ã£o Civil","4,7","(19)","Construtora","Â· Fecha 18:00","Â·","(21) 2221-8752","https://www.lopezmarinho.com.br/",""
"https://www.google.com/maps/place/Osborne+Costa+Construtora+Ltda/data=!4m7!3m6!1s0x9bd55060ba43ad:0xd598c88494517975!8m2!3d-22.9513468!4d-43.1831097!16s%2Fg%2F11g_bsr3f!19sChIJrUO6YFDVmwARdXlRlITImNU?authuser=0&hl=pt-BR&rclk=1","Osborne Costa Construtora Ltda","4,8","(6)","Construtora","","R. VoluntÃ¡rios da PÃ¡tria, 45 - Salas 402/403","(21) 2521-7235","http://www.osborne.com.br/",""
"https://www.google.com/maps/place/HSR+Construtora/data=!4m7!3m6!1s0x997fece65a123f:0x95caf12d6e3e81b6!8m2!3d-22.9044152!4d-43.1755798!16s%2Fg%2F11tg5rt618!19sChIJPxJa5ux_mQARtoE-bi3xypU?authuser=0&hl=pt-BR&rclk=1","HSR Construtora","5,0","(6)","Construtora","Â· Fecha 19:00","","","",""
"https://www.google.com/maps/place/Construtora+S%C3%A3o+Bento/data=!4m7!3m6!1s0x9981df76538cd9:0x159479e7b3c18b7!8m2!3d-22.9101533!4d-43.1740687!16s%2Fg%2F1tdgr15z!19sChIJ2YxTdt-BmQARtxg8e55HWQE?authuser=0&hl=pt-BR&rclk=1","Construtora SÃ£o Bento","4,8","(6)","Construtora","Â· Fecha 17:00","Â·","(21) 2220-0200","http://construtorasaobento.com.br/",""
